iteration,n_hidden_layers,neurons,activation,dropout,optimizer,learning_rate,batch_size,epochs,mean_cv_acc,std_cv_acc,time_elapsed_s
17,2,64,relu,0.1,adam,0.01,16,50,0.8174603174603176,0.028617566758613308,789.4585959911346
9,2,32,relu,0.1,rmsprop,0.01,16,50,0.8077294685990338,0.02428947843473723,396.576384305954
21,3,8,tanh,0.2,adam,0.01,16,50,0.7839199447895101,0.04088710956801145,931.1432683467865
10,1,8,tanh,0.1,adam,0.01,16,100,0.7838509316770187,0.029584658391944067,416.97828364372253
5,1,16,relu,0.0,rmsprop,0.001,16,50,0.7837819185645273,0.03024774730345384,221.23025035858154
6,1,32,tanh,0.1,adam,0.01,32,100,0.7790200138026225,0.028176288303548232,239.62112951278687
22,1,8,tanh,0.1,adam,0.01,16,50,0.7790200138026225,0.034842259366027764,949.0304179191589
20,3,32,tanh,0.1,adam,0.01,16,50,0.7742581090407178,0.03230536156973738,911.4269051551819
13,1,32,relu,0.2,adam,0.001,32,100,0.769496204278813,0.04079369691133652,639.3143720626831
1,3,8,relu,0.2,rmsprop,0.01,8,50,0.7693581780538302,0.030187064340009513,28.094843864440918
19,1,16,relu,0.2,adam,0.001,32,100,0.7646652864044169,0.039800885728906055,891.7970314025879
8,1,64,relu,0.1,rmsprop,0.0001,16,100,0.7599723947550036,0.06338274863593565,378.9218773841858
4,1,16,relu,0.1,rmsprop,0.001,32,100,0.7599033816425121,0.051665983467826596,185.6098017692566
14,2,64,relu,0.0,adam,0.0001,16,100,0.7502415458937198,0.03971355345809588,706.8155674934387
3,1,64,relu,0.1,adam,0.0001,16,100,0.7405797101449275,0.033740425295138626,128.5383584499359
24,1,32,relu,0.2,adam,0.0001,8,100,0.7405797101449275,0.033740425295138626,1125.6522800922394
11,1,16,relu,0.2,rmsprop,0.0001,8,100,0.7070393374741201,0.046900998475306786,511.97997212409973
15,1,8,tanh,0.2,rmsprop,0.01,8,50,0.682815734989648,0.02982708079393566,722.7483806610107
23,1,8,relu,0.2,adam,0.0001,8,100,0.6634920634920635,0.024088641116763797,1039.3512165546417
2,1,16,tanh,0.1,rmsprop,0.01,8,100,0.6585231193926847,0.05661464929969483,55.417970418930054
18,3,8,tanh,0.0,adam,0.0001,16,50,0.6102829537612146,0.0732806823544602,833.1173856258392
12,3,16,tanh,0.1,sgd,0.0001,16,100,0.562663906142167,0.026854703843286216,581.773008108139
7,2,16,relu,0.2,sgd,0.0001,16,100,0.5050379572118703,0.038236503065579255,308.7296350002289
16,1,64,relu,0.0,sgd,0.0001,8,50,0.45679779158040024,0.0599819637039889,770.3067588806152
